sample,environment,city
MCW1,Community,Mardan
MCW2,Community,Mardan
MHW1,Hospital,Mardan
MHW2,Hospital,Mardan
MSLW1,Slaughterhouse,Mardan
MSLW2,Slaughterhouse,Mardan
PCW1,Community,Peshawar
PCW2,Community,Peshawar
PHW1,Hospital,Peshawar
PHW2,Hospital,Peshawar
PSLW1,Slaughterhouse,Peshawar
PSLW2,Slaughterhouse,Peshawar
SCW1,Community,Swat
SCW2,Community,Swat
SHW1,Hospital,Swat
SHW2,Hospital,Swat
SSLW1,Slaughterhouse,Swat
SSLW2,Slaughterhouse,Swat
