Module_name,count
Two-component systems,406
Electron carrier balance,115
Recombination repair,100
Stringent response (ppGpp),83
Peptidoglycan remodeling,52
OxyR oxidative DNA repair,28
Glutathione metabolism,26
Nucleotide excision repair (NER),25
Nitric oxide stress,21
LPS remodeling,13
Thioredoxin/Peroxidase,11
Replication fidelity,11
Sigma factors (RpoS/RpoH),5
SOS response,4
Catalase/Peroxidase,3
