source,target,weight
K00027,K00031,0.8968008255933952
K00027,K00050,0.6449948400412797
K00027,K00075,0.8823529411764706
K00027,K00090,0.8431372549019607
K00027,K00161,0.7481940144478844
K00027,K00163,0.9112487100103198
K00027,K00174,-0.6099071207430341
K00027,K00176,-0.7874097007223942
K00027,K00177,-0.7750257997936018
K00027,K00179,-0.7874097007223942
K00027,K00180,-0.6222910216718266
K00027,K00186,-0.7708978328173374
K00027,K00187,-0.762641898864809
K00027,K00230,-0.6759545923632612
K00027,K00284,0.7502579979360166
K00027,K00329,0.8101135190918473
K00027,K00347,-0.6160990712074303
K00027,K00348,-0.7048503611971104
K00027,K00349,-0.6160990712074303
K00027,K00350,-0.6202270381836945
K00027,K00356,0.8224974200206397
K00027,K00362,0.6635706914344685
K00027,K00363,0.7358101135190918
K00027,K00366,0.9525283797729618
K00027,K00367,0.7688338493292053
K00027,K00368,0.7316821465428276
K00027,K00370,0.9050567595459237
K00027,K00371,0.7564499484004128
K00027,K00373,0.696594427244582
K00027,K00383,0.7254901960784313
K00027,K00384,0.6986584107327141
K00027,K00392,0.915376676986584
K00027,K00404,0.8348813209494325
K00027,K00405,0.7997936016511867
K00027,K00406,0.8679050567595459
K00027,K00407,0.826625386996904
K00027,K00410,0.8844169246646028
K00027,K00411,0.8245614035087718
K00027,K00412,0.8575851393188855
K00027,K00413,0.8307533539731682
K00027,K00426,-0.6738906088751291
K00027,K00457,0.8018575851393188
K00027,K00527,0.6742386030159963
K00027,K00529,0.7894736842105263
K00027,K00532,-0.7110423116615068
K00027,K00533,-0.7977296181630547
K00027,K00568,0.6470588235294118
K00027,K00626,0.8637770897832818
K00027,K00627,0.9009287925696594
K00027,K00681,0.8968008255933952
K00027,K00797,0.8555211558307534
K00027,K00799,0.8968008255933952
K00027,K00822,0.8555211558307534
K00027,K00830,0.7894736842105263
K00027,K00990,0.8204334365325078
K00027,K00992,0.8885448916408669
K00027,K01011,0.9071207430340558
K00027,K01034,-0.6697626418988648
K00027,K01035,-0.6388028895768835
K00027,K01141,0.8204334365325078
K00027,K01142,0.8390092879256965
K00027,K01151,-0.6780185758513931
K00027,K01160,-0.6140350877192982
K00027,K01255,0.8101135190918473
K00027,K01256,0.826625386996904
K00027,K01356,-0.653250773993808
K00027,K01581,0.8183694530443757
K00027,K01595,0.9256965944272446
K00027,K01596,0.8534571723426212
K00027,K01610,0.7358101135190918
K00027,K01643,-0.696594427244582
K00027,K01646,-0.6656346749226005
K00027,K01669,0.915376676986584
K00027,K01801,0.8245614035087718
K00027,K01816,0.8224974200206397
K00027,K01910,-0.6367389060887513
K00027,K01919,0.9050567595459237
K00027,K01920,0.8968008255933952
K00027,K01924,0.6470588235294118
K00027,K01928,0.6037151702786379
K00027,K02040,0.9009287925696594
K00027,K02164,0.8224974200206397
K00027,K02188,-0.6305469556243549
K00027,K02191,-0.6986584107327141
K00027,K02192,0.8101135190918473
K00027,K02229,0.8039215686274509
K00027,K02259,0.7069143446852425
K00027,K02302,0.7089783281733747
K00027,K02305,0.8452012383900928
K00027,K02313,0.7915376676986584
K00027,K02337,0.8142414860681115
K00027,K02339,0.8802889576883385
K00027,K02402,0.7977296181630547
K00027,K02403,0.7502579979360166
K00027,K02406,0.6140350877192982
K00027,K02448,0.8328173374613003
K00027,K02487,0.8761609907120743
K00027,K02489,-0.6635706914344685
K00027,K02558,0.7481940144478844
K00027,K02563,0.9112487100103198
K00027,K02572,-0.7440660474716203
K00027,K02641,0.8637770897832818
K00027,K02650,0.6181630546955624
K00027,K02658,-0.7440660474716203
K00027,K02659,0.9298245614035088
K00027,K02660,0.6924664602683178
K00027,K02661,0.8059855521155831
K00027,K02667,0.6491228070175438
K00027,K03091,-0.7007223942208461
K00027,K03093,-0.7585139318885449
K00027,K03106,0.7048503611971104
K00027,K03110,0.8410732714138286
K00027,K03181,0.6842105263157895
K00027,K03385,-0.8163054695562436
K00027,K03407,0.6883384932920537
K00027,K03551,0.6037151702786379
K00027,K03553,0.6119711042311662
K00027,K03569,0.696594427244582
K00027,K03581,-0.6140350877192982
K00027,K03599,0.7956656346749225
K00027,K03600,0.8555211558307534
K00027,K03617,-0.7378740970072238
K00027,K03688,0.8802889576883385
K00027,K03690,0.9091847265221877
K00027,K03701,0.8534571723426212
K00027,K03702,0.7316821465428276
K00027,K03723,0.894736842105263
K00027,K03776,0.7151702786377709
K00027,K03782,0.890608875128999
K00027,K03806,0.7647058823529412
K00027,K03878,0.6935135410722633
K00027,K03879,0.7113122190023062
K00027,K03880,0.7771008605235341
K00027,K03882,0.625639862132701
K00027,K03885,0.7048503611971104
